chain,contract_reuse_count,runtime_group_count,contracts_in_group,cumulative_contracts,total_contracts,cumulative_contract_fraction,cumulative_runtime_groups,total_runtime_groups,cumulative_runtime_fraction
ethereum,191,9,1719,1034566,72881396,0.014195200102917896,359521,362813,0.990926455226246
ethereum,192,11,2112,1036678,72881396,0.014224178691637576,359532,362813,0.990956773875247
ethereum,193,15,2895,1039573,72881396,0.01426390076282293,359547,362813,0.9909981174875211
ethereum,194,7,1358,1040931,72881396,0.014282533775834919,359554,362813,0.991017411173249
ethereum,195,11,2145,1043076,72881396,0.014311965155003343,359565,362813,0.99104772982225
ethereum,196,8,1568,1044644,72881396,0.014333479561780074,359573,362813,0.9910697797487962
ethereum,197,12,2364,1047008,72881396,0.01436591582301744,359585,362813,0.9911028546386155
ethereum,198,8,1584,1048592,72881396,0.0143876497645572,359593,362813,0.9911249045651617
ethereum,199,9,1791,1050383,72881396,0.01441222393709363,359602,362813,0.9911497107325261
ethereum,200,73,14600,1064983,72881396,0.014612549408356558,359675,362813,0.99135091631226
ethereum,201,14,2814,1067797,72881396,0.014651160084804084,359689,362813,0.9913895036837158
ethereum,202,7,1414,1069211,72881396,0.01467056146948667,359696,362813,0.9914087973694438
ethereum,203,10,2030,1071241,72881396,0.014698414942545831,359706,362813,0.9914363597776265
ethereum,204,10,2040,1073281,72881396,0.014726405624831884,359716,362813,0.9914639221858093
ethereum,205,13,2665,1075946,72881396,0.014762971883798713,359729,362813,0.9914997533164468
ethereum,206,10,2060,1078006,72881396,0.01479123698453855,359739,362813,0.9915273157246295
ethereum,207,4,828,1078834,72881396,0.014802597908525244,359743,362813,0.9915383406879026
ethereum,208,8,1664,1080498,72881396,0.01482542952388014,359751,362813,0.9915603906144488
ethereum,209,6,1254,1081752,72881396,0.01484263556093245,359757,362813,0.9915769280593584
ethereum,210,12,2520,1084272,72881396,0.014877212286109338,359769,362813,0.9916100029491777
ethereum,211,9,1899,1086171,72881396,0.014903268318296208,359778,362813,0.9916348091165421
ethereum,212,6,1272,1087443,72881396,0.014920721331956923,359784,362813,0.9916513465614518
ethereum,213,9,1917,1089360,72881396,0.0149470243407522,359793,362813,0.9916761527288163
ethereum,214,8,1712,1091072,72881396,0.014970514560396182,359801,362813,0.9916982026553625
ethereum,215,9,1935,1093007,72881396,0.014997064545799863,359810,362813,0.9917230088227269
ethereum,216,12,2592,1095599,72881396,0.015032629177410379,359822,362813,0.9917560837125461
ethereum,217,4,868,1096467,72881396,0.01504453893830464,359826,362813,0.9917671086758192
ethereum,218,8,1744,1098211,72881396,0.015068468227474676,359834,362813,0.9917891586023654
ethereum,219,4,876,1099087,72881396,0.015080487755750452,359838,362813,0.9918001835656385
ethereum,220,13,2860,1101947,72881396,0.015119729594641683,359851,362813,0.991836014696276
ethereum,221,5,1105,1103052,72881396,0.015134891214213296,359856,362813,0.9918497959003674
ethereum,222,12,2664,1105716,72881396,0.015171443752257435,359868,362813,0.9918828707901867
ethereum,223,7,1561,1107277,72881396,0.015192862112575341,359875,362813,0.9919021644759146
ethereum,224,11,2464,1109741,72881396,0.015226670466081633,359886,362813,0.9919324831249156
ethereum,225,8,1800,1111541,72881396,0.015251368126922267,359894,362813,0.9919545330514618
ethereum,226,10,2260,1113801,72881396,0.015282377412199953,359904,362813,0.9919820954596446
ethereum,227,10,2270,1116071,72881396,0.015313523906704532,359914,362813,0.9920096578678272
ethereum,228,9,2052,1118123,72881396,0.015341679240062855,359923,362813,0.9920344640351917
ethereum,229,10,2290,1120413,72881396,0.015373100153021218,359933,362813,0.9920620264433744
ethereum,230,3,690,1121103,72881396,0.015382567589676795,359936,362813,0.9920702951658292
ethereum,231,3,693,1121796,72881396,0.01539207618910044,359939,362813,0.9920785638882841
ethereum,232,8,1856,1123652,72881396,0.015417542221611671,359947,362813,0.9921006138148303
ethereum,233,11,2563,1126215,72881396,0.015452708946464198,359958,362813,0.9921309324638312
ethereum,234,8,1872,1128087,72881396,0.015478394513738458,359966,362813,0.9921529823903774
ethereum,235,3,705,1128792,72881396,0.015488067764234373,359969,362813,0.9921612511128323
ethereum,236,6,1416,1130208,72881396,0.01550749659076234,359975,362813,0.9921777885577419
ethereum,237,6,1422,1131630,72881396,0.015527007742826442,359981,362813,0.9921943260026514
ethereum,238,7,1666,1133296,72881396,0.015549866800026717,359988,362813,0.9922136196883794
ethereum,239,6,1434,1134730,72881396,0.01556954260316309,359994,362813,0.9922301571332891
ethereum,240,5,1200,1135930,72881396,0.01558600771039018,359999,362813,0.9922439383373804
ethereum,241,5,1205,1137135,72881396,0.015602541422230715,360004,362813,0.9922577195414718
ethereum,242,5,1210,1138345,72881396,0.015619143738684699,360009,362813,0.9922715007455631
ethereum,243,9,2187,1140532,72881396,0.01564915139660607,360018,362813,0.9922963069129276
ethereum,244,12,2928,1143460,72881396,0.01568932625824017,360030,362813,0.9923293818027469
ethereum,245,7,1715,1145175,72881396,0.01571285764065222,360037,362813,0.9923486754884748
ethereum,246,2,492,1145667,72881396,0.015719608334615325,360039,362813,0.9923541879701113
ethereum,247,2,494,1146161,72881396,0.01572638647042381,360041,362813,0.9923597004517478
ethereum,248,6,1488,1147649,72881396,0.015746803203385402,360047,362813,0.9923762378966575
ethereum,249,7,1743,1149392,72881396,0.01577071877163275,360054,362813,0.9923955315823855
ethereum,250,13,3250,1152642,72881396,0.015815311770372785,360067,362813,0.992431362713023
ethereum,251,3,753,1153395,72881396,0.015825643625157784,360070,362813,0.9924396314354778
ethereum,252,5,1260,1154655,72881396,0.01584293198774623,360075,362813,0.9924534126395691
ethereum,253,8,2024,1156679,72881396,0.015870703135269254,360083,362813,0.9924754625661153
ethereum,254,11,2794,1159473,72881396,0.015909039393262995,360094,362813,0.9925057812151163
ethereum,255,6,1530,1161003,72881396,0.015930032404977534,360100,362813,0.9925223186600259
ethereum,256,10,2560,1163563,72881396,0.015965157967061994,360110,362813,0.9925498810682087
ethereum,257,9,2313,1165876,72881396,0.01599689446124221,360119,362813,0.9925746872355732
ethereum,258,2,516,1166392,72881396,0.016003974457349857,360121,362813,0.9925801997172097
ethereum,259,10,2590,1168982,72881396,0.016039511647114993,360131,362813,0.9926077621253924
ethereum,260,3,780,1169762,72881396,0.0160502139668126,360134,362813,0.9926160308478472
