chain,block_date,create_trace_count
ethereum,2017-04-22,206
ethereum,2017-04-23,11
ethereum,2017-04-24,48
ethereum,2017-04-25,704
ethereum,2017-04-26,2414
ethereum,2017-04-27,3310
ethereum,2017-04-28,802
ethereum,2017-04-29,266
ethereum,2017-04-30,672
ethereum,2017-05-01,812
ethereum,2017-05-02,1284
ethereum,2017-05-03,44
ethereum,2017-05-04,1840
ethereum,2017-05-05,522
ethereum,2017-05-06,2781
ethereum,2017-05-07,1123
ethereum,2017-05-08,1490
ethereum,2017-05-09,3207
ethereum,2017-05-10,4894
ethereum,2017-05-11,3290
ethereum,2017-05-12,3408
ethereum,2017-05-13,3431
ethereum,2017-05-14,3440
ethereum,2017-05-15,4696
ethereum,2017-05-16,5572
ethereum,2017-05-17,4661
ethereum,2017-05-18,4562
ethereum,2017-05-19,6035
ethereum,2017-05-20,5459
ethereum,2017-05-21,5339
ethereum,2017-05-22,5307
ethereum,2017-05-23,6385
ethereum,2017-05-24,6771
ethereum,2017-05-25,6228
ethereum,2017-05-26,5137
ethereum,2017-05-27,4070
ethereum,2017-05-28,4309
ethereum,2017-05-29,5731
ethereum,2017-05-30,4200
ethereum,2017-05-31,3265
ethereum,2017-06-01,5127
ethereum,2017-06-02,5323
ethereum,2017-06-03,3631
ethereum,2017-06-04,6704
ethereum,2017-06-05,4047
ethereum,2017-06-06,4170
ethereum,2017-06-07,7569
ethereum,2017-06-08,3655
ethereum,2017-06-09,3459
ethereum,2017-06-10,4627
ethereum,2017-06-11,5194
ethereum,2017-06-12,3168
ethereum,2017-06-13,4742
ethereum,2017-06-14,4923
ethereum,2017-06-15,4595
ethereum,2017-06-16,5209
ethereum,2017-06-17,3853
ethereum,2017-06-18,6694
ethereum,2017-06-19,9177
ethereum,2017-06-20,2434
ethereum,2017-06-21,2743
ethereum,2017-06-22,10491
ethereum,2017-06-23,5912
ethereum,2017-06-24,3850
ethereum,2017-06-25,5200
ethereum,2017-06-26,4686
ethereum,2017-06-27,4761
ethereum,2017-06-28,5979
ethereum,2017-06-29,6630
ethereum,2017-06-30,9820
ethereum,2017-07-01,4102
ethereum,2017-07-02,3371
ethereum,2017-07-03,10533
ethereum,2017-07-04,2049
ethereum,2017-07-05,2289
ethereum,2017-07-06,2173
ethereum,2017-07-07,6059
ethereum,2017-07-08,3185
ethereum,2017-07-09,8924
ethereum,2017-07-10,3168
ethereum,2017-07-11,4264
ethereum,2017-07-12,4860
ethereum,2017-07-13,15384
ethereum,2017-07-14,2574
ethereum,2017-07-15,1006
ethereum,2017-07-16,1975
ethereum,2017-07-17,9075
ethereum,2017-07-18,7959
ethereum,2017-07-19,2652
ethereum,2017-07-20,10792
ethereum,2017-07-21,9536
ethereum,2017-07-22,4680
ethereum,2017-07-23,7134
ethereum,2017-07-24,7471
ethereum,2017-07-25,2926
