chain,block_date,active_factory_count
ethereum,2018-06-17,67
ethereum,2018-06-18,90
ethereum,2018-06-19,68
ethereum,2018-06-20,79
ethereum,2018-06-21,174
ethereum,2018-06-22,185
ethereum,2018-06-23,535
ethereum,2018-06-24,490
ethereum,2018-06-25,87
ethereum,2018-06-26,635
ethereum,2018-06-27,396
ethereum,2018-06-28,76
ethereum,2018-06-29,164
ethereum,2018-06-30,71
ethereum,2018-07-01,39
ethereum,2018-07-02,35
ethereum,2018-07-03,44
ethereum,2018-07-04,53
ethereum,2018-07-05,61
ethereum,2018-07-06,54
ethereum,2018-07-07,44
ethereum,2018-07-08,60
ethereum,2018-07-09,76
ethereum,2018-07-10,90
ethereum,2018-07-11,82
ethereum,2018-07-12,93
ethereum,2018-07-13,105
ethereum,2018-07-14,63
ethereum,2018-07-15,71
ethereum,2018-07-16,151
ethereum,2018-07-17,391
ethereum,2018-07-18,348
ethereum,2018-07-19,229
ethereum,2018-07-20,782
ethereum,2018-07-21,906
ethereum,2018-07-22,460
ethereum,2018-07-23,531
ethereum,2018-07-24,289
ethereum,2018-07-25,134
ethereum,2018-07-26,117
ethereum,2018-07-27,93
ethereum,2018-07-28,95
ethereum,2018-07-29,111
ethereum,2018-07-30,123
ethereum,2018-07-31,117
ethereum,2018-08-01,98
ethereum,2018-08-02,94
ethereum,2018-08-03,75
ethereum,2018-08-04,66
ethereum,2018-08-05,76
ethereum,2018-08-06,84
ethereum,2018-08-07,1251
ethereum,2018-08-08,2379
ethereum,2018-08-09,2654
ethereum,2018-08-10,3342
ethereum,2018-08-11,850
ethereum,2018-08-12,378
ethereum,2018-08-13,264
ethereum,2018-08-14,218
